Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
-0.11553955,-0.036071777,-0.07537842,42.305344,-3.6183207000000004,4.0458016,11
-0.09515381,-0.047607422,-0.07720947,56.85496,13.572519,4.9541984,11
-0.09527588,-0.048950195,-0.06982422,37.900764,17.877863,-0.67175573,11
-0.08929443,-0.05230713,-0.07055664,31.045801,14.366412,0.71755725,11
-0.09283447,-0.054260254,-0.06262207,17.519083,11.038167999999999,1.9007633999999998,11
-0.09082031,-0.044799805,-0.06469726599999999,9.137404,10.847328,1.038168,11
-0.10241699,-0.04888916,-0.055664062,26.267176,12.297709,1.610687,11
-0.093933105,-0.051696777,-0.052490234000000004,45.14504,10.763359,-1.3435115,11
-0.09844971,-0.059448242000000005,-0.04876709,34.595420000000004,7.7175574000000005,-5.4274807,11
-0.09478760000000001,-0.06915283,-0.054870605,4.0,6.5343513,-17.61832,11
-0.08813476599999999,-0.05517578,-0.052368164,-11.625955000000001,3.0839694,-17.595419,11
-0.08673096,-0.052124023,-0.070373535,-4.5648856,-2.206107,-18.320610000000002,11
-0.08782959,-0.055664062,-0.05682373,-1.5572518999999998,-3.1145039,-14.80916,11
-0.09472656,-0.060791015999999996,-0.07080078,2.687023,-4.2977099999999995,-12.641221,11
-0.09124756,-0.062072754,-0.051818848,0.27480915,-2.4885497,-9.954199000000001,11
-0.09490967,-0.06005859400000001,-0.059143065999999994,3.3206108,-7.3587785000000006,-7.0,11
-0.092285156,-0.06072998,-0.053100586,-1.0610687,-8.091603,-10.488549,11
-0.095825195,-0.06036377,-0.047424315999999994,-22.389313,-12.954199000000001,-12.083969,11
-0.09863281,-0.053894042999999996,-0.054992676,-26.06107,-15.78626,-12.305344,11
-0.08972168,-0.054870605,-0.059936523,-9.122137,-10.656488000000001,-12.297709,11
-0.09136963,-0.054748535,-0.06378174,7.030534299999999,-4.259542,-5.3587785000000006,11
-0.0914917,-0.066345215,-0.05712890599999999,13.274809,-0.77099234,-5.557252,11
-0.09588623,-0.06561279,-0.044006348,8.030535,-3.6564887,-4.328244000000001,11
-0.09271239999999999,-0.06970215,-0.052978515999999996,1.3053435,-7.3511453,-3.70229,11
-0.09289551,-0.06060791,-0.05682373,-5.6106873,-7.5496182,-4.931298,11
-0.09161377,-0.06500244,-0.06420898400000001,4.6946564,-3.8473281999999998,-7.8244276,11
-0.08941650400000001,-0.06384277,-0.05645752,18.885496,-1.4656489,-4.152672,11
-0.10040283,-0.07562256,-0.050842285,20.015266,0.045801528,-4.6412214999999994,11
-0.09234619,-0.07147217,-0.06298828,8.450381,4.847328,-8.404580000000001,11
-0.093811035,-0.07531738,-0.043945312,-6.015267400000001,3.2442749,-6.9541984,11
-0.09143066400000001,-0.07495117,-0.049072265999999996,-16.251910000000002,-2.5038167999999996,-12.244275,11
-0.09429932,-0.06597900400000001,-0.047790527,-25.282442,-3.5496182000000003,-10.80916,11
-0.08551025400000001,-0.05615234400000001,-0.05822754,-4.2061067,2.465649,-9.236641,11
-0.097595215,-0.06579589999999999,-0.046142578,-2.5419848,-0.2977099,-6.6793895,11
-0.09057617,-0.058044434000000006,-0.04650879,-6.5038165999999995,0.8702290000000001,-5.9160304,11
-0.09710693,-0.053466797,-0.058532715,-9.106871,5.4351144,-2.4198472,11
-0.09429932,-0.049804688,-0.05303955,-18.48855,6.343511599999999,3.3816792999999996,11
-0.10235596,-0.04449463,-0.054748535,-10.229008,1.70229,9.007633,11
-0.11267089999999998,-0.047851562,-0.06567383,12.366412,8.625955000000001,17.251910000000002,11
-0.10314941400000001,-0.050354004,-0.06518555,28.038168,20.755726,20.297710000000002,11
-0.10095215,-0.059265137,-0.06610107400000001,34.748093,19.778625,19.145039,11
-0.10046387,-0.06945801,-0.048828125,27.503816999999998,19.328245000000003,11.236641,11
-0.09472656,-0.06927489999999999,-0.059570312,4.2977099999999995,18.351145000000002,6.80916,11
-0.08319092,-0.059692382999999995,-0.07128906,9.236641,21.190839999999998,2.6259542000000002,11
-0.08520508,-0.06384277,-0.0637207,23.305344,23.175573,5.1297708,11
-0.08276367,-0.07250976599999999,-0.0637207,15.473282999999999,18.954199,5.7175574000000005,11
-0.093811035,-0.07867432,-0.045166015999999996,-15.603053,15.78626,5.7099237,11
-0.09704589999999999,-0.06762695,-0.050354004,-44.10687,9.320611,-0.061068702,11
-0.09814453,-0.06286621,-0.053710938,-73.32825,5.221374,-4.412214,11
-0.09637451,-0.05871582,-0.057861328,-84.58778000000001,-1.0687023,-12.702291,11
-0.10058594,-0.052490234000000004,-0.07104492,-75.70229,0.84732825,-19.595419,11
-0.09283447,-0.046203613,-0.07269287,-67.96947,8.106871,-22.328245000000003,11
-0.08428955,-0.03753662,-0.066589355,-79.51908,2.389313,-15.511451000000001,11
-0.07977295,-0.022521972999999997,-0.0635376,-44.709922999999996,0.8549618,-12.19084,11
-0.08428955,-0.031433105,-0.051330565999999994,28.61832,10.984733,-2.8396947,11
-0.08551025400000001,-0.043762207000000004,-0.036315917999999996,38.961834,12.511451,3.4885497,11
-0.089782715,-0.052124023,-0.035827637,2.7099237,-5.847328,7.3053436000000005,11
-0.08764648400000001,-0.03466797,-0.05029297,-8.038167999999999,-18.984734,9.992367,11
-0.086120605,-0.03930664,-0.05041504,12.572519,-23.946566,11.274809,11
-0.10308838,-0.03491211,-0.07281494,46.366413,-26.183207,13.732823999999999,11
-0.10571289,-0.0501709,-0.07623291,94.08397,-4.9389315,19.366413,11
-0.09875488,-0.072753906,-0.053466797,66.43511,13.694656,20.832062,11
-0.089904785,-0.076049805,-0.060546875,3.5572519999999996,7.7557254,7.9847326,11
-0.09088135,-0.05834961,-0.07708739999999999,-43.473279999999995,-9.229008,-0.45801526,11
-0.09277344,-0.046813965,-0.0881958,-11.755725,-2.6030533,1.5648855,11
-0.10076904,-0.055114746,-0.062194824,31.625953999999997,15.656488000000001,4.4198474999999995,11
-0.09667969,-0.053588867000000005,-0.0435791,9.404580000000001,14.106871,0.045801528,11
-0.09692383,-0.046142578,-0.05456543,-11.839694999999999,2.1526718,-3.2748091,11
-0.09515381,-0.048461914,-0.07489014,19.458015,9.312977,-0.70229006,11
-0.08880615,-0.062194824,-0.072753906,32.664124,23.412214000000002,-5.633588,11
-0.08813476599999999,-0.054382324,-0.06542969,16.221375,17.038168,-5.076336,11
-0.08728027,-0.059448242000000005,-0.06640625,2.519084,7.2137402999999996,-3.832061,11
-0.09240723,-0.05029297,-0.06402588,0.8167939000000001,5.183206,-3.534351,11
-0.08392334,-0.052001953,-0.056396484000000004,3.7557251000000003,10.938931,-4.0305343,11
-0.08666992,-0.053649902,-0.061950684000000006,8.961832000000001,7.6793895,-1.70229,11
-0.09405517599999999,-0.057495117000000005,-0.05694580000000001,-2.1526718,-2.5038167999999996,-2.4503817999999997,11
-0.0925293,-0.06414795,-0.061279297,-14.412213000000001,-4.7328243,-4.335878,11
-0.09735107400000001,-0.06024169999999999,-0.07525635,-15.129771,2.946565,-4.2061067,11
-0.095825195,-0.052124023,-0.07250976599999999,-4.4580154,3.9541983999999997,-2.1603053,11
-0.09808349599999999,-0.05303955,-0.064331055,9.106871,5.625954,0.030534351,11
-0.09704589999999999,-0.056884765999999996,-0.055603027,13.641221,8.335877,0.8167939000000001,11
-0.09362793,-0.057006836,-0.06402588,4.6870227,5.0,-0.16793893,11
-0.08538818,-0.05444336,-0.06585693,4.1221375,0.35114503,0.77099234,11
-0.08404541,-0.058532715,-0.061340332000000004,3.5801528,-0.20610687,1.0305344,11
-0.09051514,-0.055541992000000005,-0.06988525400000001,1.1603054,1.3053435,3.0305343,11
-0.09161377,-0.05279541,-0.059326172,1.9541985,3.076336,1.1679389999999998,11
-0.08728027,-0.054260254,-0.05895996,4.854962,2.2900763,0.40458015,11
