Acc_X,Acc_Y,Acc_Z,Label
0.06927489999999999,0.32305908,0.09332275400000001,17
0.06719971,0.27319336,0.068847656,17
0.10003662,0.29974365,0.07019043,17
0.12506104,0.34631348,0.08746338,17
0.13562012,0.35443115,0.10510254,17
0.12573242,0.28411865,0.09539795,17
0.11773682,0.21087646,0.06738281,17
0.15466309,0.20819092,0.08691406,17
0.14111328,0.23187256,0.093566895,17
0.1274414,0.20336914,0.13970947,17
0.093688965,0.16534424,0.07971191400000001,17
0.07043457,0.13995361,0.070373535,17
0.048706055,0.12786865,0.06774902,17
0.030761719,0.12231445,0.06726074,17
0.024780273,0.14154053,0.06311035,17
0.018310547,0.17919922,0.07336426,17
0.011779785,0.20800781,0.08264160000000001,17
0.009094238000000001,0.23327637,0.08251953,17
0.005004883,0.24389648,0.08520508,17
-0.0029296879999999997,0.25720215,0.0847168,17
-0.002807617,0.29382324,0.06536865,17
0.035888672,0.3897705,-0.009521484,17
0.042114257999999995,0.39874268,0.019592285,17
0.049438477,0.37872314,0.07971191400000001,17
0.047668457000000004,0.35028076,0.15234375,17
0.05694580000000001,0.3289795,0.10510254,17
0.08911133,0.29083252,0.09576416,17
0.06896973,0.23913574,0.11059569999999999,17
0.08380127,0.24487305,0.14422607,17
0.08013916,0.25402832,0.14624023,17
0.068359375,0.21728516,0.13519287,17
0.059631348,0.18029785,0.1161499,17
0.053649902,0.15405273,0.09588623,17
0.057800292999999996,0.14678955,0.07446289,17
0.053100586,0.12646484,0.06604004,17
0.04833984400000001,0.12371826,0.06829834,17
0.062438965,0.13934326,0.05718994,17
0.057922363,0.16864014,0.06695557,17
0.06048584,0.19036865,0.080200195,17
0.06829834,0.22332764,0.08673096,17
0.06915283,0.24206543,0.07971191400000001,17
0.09100342,0.26257324,0.0881958,17
0.09857178,0.30505370000000004,0.09832764,17
0.10412598,0.28088379999999996,0.090026855,17
0.115356445,0.2682495,0.08001709,17
0.12487793,0.28564453,0.07580566400000001,17
0.13116455,0.30322266,0.08312988,17
0.1352539,0.27734375,0.080200195,17
0.14904785,0.19232178,0.055664062,17
0.15435791,0.20007324,0.05810547,17
0.12652588,0.19683838,0.059631348,17
0.10504150400000001,0.1743164,0.07067871,17
0.044128417999999996,0.15496826,0.058410645,17
0.03527832,0.16253662,0.051513672,17
0.03161621,0.17718506,0.05682373,17
0.042114257999999995,0.19445801,0.049072265999999996,17
0.038085938,0.2553711,0.0637207,17
0.042175292999999996,0.27313232,0.05206299,17
0.025756836,0.2833252,0.02722168,17
0.046936035,0.3453369,-0.06604004,17
0.08087158,0.38165283,-0.04901123,17
0.08477783,0.3381958,0.03466797,17
0.06921387,0.2991333,0.15124512,17
