Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0.21850586,0.01940918,0.09204101599999999,25.786259,-60.81679499999999,-108.229004,10
0.21276855,0.028686523,0.10406494,-2.1984732000000005,-56.32824300000001,-100.51908,10
0.20874023,0.029296875,0.1182251,-35.473279999999995,-53.69465600000001,-88.71755999999999,10
0.2364502,0.039978027,0.122558594,-69.55725,-48.190838,-78.0,10
0.23724365,0.06744385,0.09881592,-82.145035,-42.038166,-66.19084000000001,10
0.23284912,0.109313965,0.10961914,-87.80153,-14.725191,-55.312977000000004,10
0.26263428,0.13293457,0.11883545,-67.40458000000001,3.0305343,-45.633587,10
0.28607178,0.15203857,0.10388183599999999,-31.396946000000003,18.442749,-39.099236,10
0.272583,0.17578125,0.12164307,-20.854961,37.21374,-54.83206,10
0.24377441,0.22955322,0.09710693,-26.23664,70.05344000000001,-52.732826,10
0.25177002,0.24499512,0.09173584,-17.564885999999998,102.816795,-68.061066,10
0.2052002,0.2600708,0.13250732,-20.236639999999998,140.06107,-127.58778000000001,10
0.15081787,0.25909424,0.13330078,-51.9771,156.03816,-160.48091000000002,10
0.02960205,0.10784912,-0.022827148,54.679390000000005,104.01527,-22.709923,10
0.03515625,0.10717773400000001,-0.03186035,70.541985,71.091606,21.374046,10
0.019226074,0.10510254,-0.008361816,65.03817,28.290077,51.206109999999995,10
0.027526855,0.04925537,6.1e-05,47.755726,-17.877863,28.725191,10
0.015686035,0.29492188,-0.05908203,-61.37404599999999,-49.900764,-24.08397,10
-0.00592041,0.3861084,0.02960205,136.18321,-87.41984599999999,48.419846,10
-0.07122803,0.31677246,0.13354492,186.71756000000002,-86.91603,56.572517000000005,10
-0.1161499,0.22766113,0.107299805,250.12977999999998,-76.44275,51.82443,10
-0.07781982400000001,0.22363281,0.05859375,44.045803,21.885496,0.41984734,10
-6.1e-05,0.38293457,0.07232666,16.458015,49.526720000000005,-13.847328,10
0.007568359,0.44873047,0.04498291,107.46565,40.21374,10.572519,10
-0.009277344,0.2506714,0.06756592,218.15266,31.51145,21.404581,10
0.018554688,0.27355957,0.00970459,71.25191,52.580154,3.778626,10
0.07745361,0.34075928,0.026672362999999998,150.03816,43.931297,24.229008,10
0.05731201,0.2310791,0.056640625,189.74046,26.633587,31.587785999999998,10
0.0635376,0.14996338,0.018493652,122.74808999999999,48.839695,15.717557000000001,10
0.0859375,0.1786499,-0.025878906,31.557251,60.274809999999995,-2.0610688,10
0.09234619,0.20739746,-0.03387451,36.793890000000005,56.221375,-4.40458,10
0.07580566400000001,0.19274902,-0.037597656,77.854965,33.870228000000004,15.755725,10
0.06732178,0.15460205,-0.034179688,93.32825,20.412214000000002,30.122137,10
0.041137695,0.11663818,-0.03302002,70.31298000000001,22.137404999999998,22.045801,10
0.054504395,0.184021,-0.022521972999999997,22.770992,25.679389999999998,20.969465,10
0.046203613,0.19940186,-0.01727295,80.01527,13.206107000000001,37.55725,10
0.045166015999999996,0.1517334,-0.025878906,18.847328,14.015267000000001,20.015266,10
0.057617188,0.15014648,-0.057800292999999996,-21.809160000000002,-0.4274809,-4.473282299999999,10
0.039794922,0.18066406,-0.07519531,-91.9313,-75.67939,-31.717558,10
0.04046631,0.1828003,-0.08331299,-174.75572,-110.70228999999999,-53.969467,10
0.029846191,0.24261475,-0.036804199999999995,-221.67175,-141.35115,-66.41984599999999,10
0.032043457000000004,0.30358887,-0.028259277000000003,-201.55725,-140.19847,-73.99235999999999,10
0.03149414,0.33374023,0.033203125,-149.69466,-158.85497,-73.23664000000001,10
0.020935059,0.28228759999999997,0.04541015599999999,-99.44275,-181.9084,-79.64886,10
0.011657715,0.33898926,0.09063721,-105.74045600000001,-71.503815,-81.07633,10
0.029052734,0.32537842,0.12438965,-15.671756,-80.15267,-59.312977000000004,10
0.03375244,0.29034424,0.08422851599999999,9.396947,-75.54961999999999,-54.778625,10
-0.01928711,0.28430176,0.02722168,10.557252,-50.648853,-52.404579999999996,10
-0.014221191000000001,0.28894043,0.002990723,35.282444,-44.435116,-46.396946,10
-0.042541504,0.26611328,0.010253906,44.91603,-32.137405,-51.717556,10
-0.07080078,0.26654053,0.003295898,33.603054,-19.89313,-54.053436,10
-0.06304932,0.19421387,0.00378418,56.67175699999999,-2.0992367,-59.37404599999999,10
-0.06567383,0.16882324,0.035827637,60.984733999999996,-0.58778626,-55.007633,10
-0.10717773400000001,0.22625732,-0.03753662,-23.564885999999998,12.091603,-48.099236,10
-0.13323975,0.2946167,-0.026611327999999997,-10.122137,19.480917,-55.061069999999994,10
-0.16937256,0.30877686,-0.01159668,-11.931297,13.114504,-75.061066,10
-0.17205810000000002,0.36523438,-0.019470215,-46.297709999999995,21.885496,-104.19084000000001,10
-0.19506836,0.42584229999999995,-0.003662109,-24.167938,38.603054,-122.51145,10
-0.21081543,0.3534546,-0.000488,32.572517,39.984734,-146.01527,10
-0.21807861,0.29382324,-0.007446289,2.9694657,72.43511,-176.01527,10
-0.20770264,0.24664307,0.009948731,9.610686999999999,70.40458000000001,-183.26718,10
-0.19726562,0.17279053,0.051757812,6.5496182,68.99235999999999,-185.98473,10
-0.18670654,0.09777832,0.03894043,-11.442748,89.9771,-187.58778,10
-0.17852783,0.08728027,0.046813965,-40.0229,98.39695,-178.93893,10
-0.17669678,0.05218506,0.04626465,-4.8244276,74.099236,-158.07634,10
-0.15570068,-0.006164551,0.027038574,-44.0,78.23664000000001,-135.03053,10
-0.13110352,0.033081055,0.007385254,-85.46565,82.71755999999999,-115.87023,10
-0.14733887,0.04260254,0.00042699999999999997,-32.297709999999995,51.198475,-90.29771,10
-0.12658691,0.020446777,-0.014587402,-39.0229,44.038166,-79.23664000000001,10
-0.14337158,0.024597168,-0.013427733999999998,-80.84733,45.526720000000005,-74.458015,10
-0.17443848,0.050354004,-0.009399414,-79.98473,35.839695,-63.59542,10
-0.17175293,0.093688965,-0.052734375,-14.755725,32.297709999999995,-55.580154,10
-0.13781738,0.1395874,-0.059143065999999994,124.69466000000001,15.091603,-8.893129,10
-0.18005371,0.08569336,-0.020080566,250.12977999999998,-19.595419,35.10687,10
-0.19451904,0.007507324,-0.010375977,250.12977999999998,-56.35878,45.419846,10
-0.23114014,-0.08502197,-0.046569824,192.47328000000002,-35.82443,0.46564886,10
-0.21612549,0.02557373,-0.07110596,31.244274,59.900764,10.412213000000001,10
-0.21490479,-0.031433105,-0.08154297,1.480916,-8.893129,-9.022901,10
-0.27160645,0.022277832,-0.10089111,-144.15266,46.374046,-14.954199,10
-0.26361084,0.13647461,-0.14587402,-38.0229,15.366412,-15.274809,10
-0.25305176,0.058288574,-0.1239624,86.48092,-25.977098,-23.900763,10
-0.27355957,0.025695799999999998,-0.10186767599999999,-7.480916000000001,1.648855,-11.305344,10
-0.25457764,0.103637695,-0.09350586,-4.442748,-11.709924,16.641222,10
