Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0.21826172,-0.058776855,0.11444092,-1.7633588,-5.6183205,1.2824427,8
0.21380615,-0.054260254,0.11187744,-7.236641400000001,-3.5267177000000003,0.45801526,8
0.21923828,-0.0680542,0.09924316400000001,-1.4961832,-5.4885497,-5.221374,8
0.2298584,-0.064453125,0.1026001,-1.0534351,-5.5038165999999995,-7.9923663000000005,8
0.21960449,-0.06506348,0.10455322,1.1679389999999998,-2.8778627,-8.541985,8
0.234375,-0.074035645,0.089904785,0.6488550000000001,-4.091603299999999,-2.8854961,8
0.22491455,-0.07397461,0.09466553,3.3969467000000004,-8.389313000000001,-2.9312978,8
0.2300415,-0.06341553,0.08843994,-4.374046,-8.618319999999999,1.7099236,8
0.22692871,-0.06726074,0.10974121,0.8244275,-8.603053,-2.1755726,8
0.21691895,-0.05126953,0.10498047,0.52671754,-5.5419846,-4.4656487,8
0.21655273,-0.05505371,0.0914917,-0.43511450000000007,-4.40458,-7.5267177,8
0.22070312,-0.06811523400000001,0.09161377,-2.129771,-5.908396700000001,-8.473283,8
0.23675537,-0.06768799,0.10632324,-1.2519083999999998,-6.3053436,-5.0305343,8
0.23400879,-0.06591797,0.091796875,-1.4885496,-3.5572519999999996,-6.656488400000001,8
0.21984863,-0.06481933599999999,0.080078125,-0.35114503,-5.236641400000001,-6.923664,8
0.22137451,-0.068847656,0.0836792,-1.5343511,-10.061069,-6.4885497,8
0.23193360000000002,-0.059265137,0.09753418,-1.0687023,-10.229008,-3.5496182000000003,8
0.22650146,-0.07305908,0.09637451,-1.0152671,-7.900763499999999,-4.396946400000001,8
0.22033691,-0.06762695,0.09429932,0.9465648999999999,-6.40458,-5.7480917,8
0.22241211,-0.055908203,0.07965088,2.2671757,-4.40458,-5.9923663000000005,8
0.22955322,-0.06451416,0.0847168,-1.5496184,-2.2900763,-4.236641400000001,8
0.22216797,-0.06292724599999999,0.09887695,-1.7480916000000002,-1.6030535,-4.8015265,8
0.23272705,-0.06365967,0.090026855,0.007633588,-0.97709924,-5.374046,8
0.23370361,-0.06958008,0.08026123,2.3206108,-4.4274807,-4.183206,8
0.23596191,-0.061401367000000005,0.08013916,1.3969465,-5.7022900000000005,-2.923664,8
0.23278809,-0.06323242,0.08947754,3.961832,-8.244275,-6.7862597000000004,8
0.22021484,-0.059448242000000005,0.086120605,2.312977,-4.2061067,-5.587786,8
0.22875977,-0.06616211,0.08502197,1.2290076,-3.1374047000000003,-4.3893127,8
0.22662354,-0.064331055,0.07452392599999999,-0.22137405,-3.1908397999999996,-7.091603299999999,8
0.22833252,-0.05834961,0.08666992,0.022900764,-0.86259544,-7.068702,8
0.22094727,-0.06469726599999999,0.08294678,-0.33587787,0.66412216,-7.8549619999999996,8
0.23321533,-0.06384277,0.07952881,0.122137405,1.5343511,-7.847328,8
0.23205566,-0.059692382999999995,0.08148193,1.0534351,-0.045801528,-10.091603,8
