Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0.25408936,-0.17022705,-0.07592773400000001,-109.89313,15.526717000000001,-77.64121999999999,7
0.2515869,-0.17132568,-0.055908203,-49.396946,7.2748094,-87.778625,7
0.25238037,-0.15655518,-0.050109863,-12.396947,0.99236643,-93.900764,7
0.23547363,-0.14630127,-0.040649414,-0.29007635,-5.343511599999999,-91.35114,7
0.2265625,-0.13739014,-0.043029785,-1.5038168,-6.1603055,-78.10687,7
0.21466064,-0.13647461,-0.03741455,-15.488548999999999,-7.8549619999999996,-58.16794,7
0.23858643,-0.15875244,-0.056274414,-5.6870227,-10.068703,-50.435116,7
0.26110839999999996,-0.17449951,-0.06970215,17.374046,-3.1908397999999996,-44.221375,7
0.27770996,-0.16638184,-0.08142089999999999,31.145039,1.221374,-37.923664,7
0.29351807,-0.16748047,-0.08441162,36.305344,8.519084,-15.870229,7
0.2913208,-0.14984131,-0.09197998,40.0,14.351145,10.290076,7
0.3262329,-0.1439209,-0.07452392599999999,39.82443,10.679389,43.0229,7
0.2678833,-0.13098145,-0.07708739999999999,49.076336,3.9770992,71.87786,7
0.2675171,-0.12121582,-0.09399414,57.47328,-2.0610688,110.87023,7
0.28466797,-0.13269043,-0.08569336,80.78626,-1.9160305,114.65648999999999,7
0.27734375,-0.13012695,-0.08123779,111.41221999999999,-0.5801527,111.41984599999999,7
0.28240967,-0.11126709,-0.08630371,137.29007,-0.7633588000000001,102.64886,7
0.2607422,-0.09539795,-0.083496094,152.60306,-3.8244274,96.00764000000001,7
0.25439453,-0.08508301,-0.08099365,157.35878,-2.3740457999999998,85.24428,7
0.24127197,-0.08123779,-0.07879639,152.80916000000002,-1.0687023,83.00764000000001,7
0.23211669999999998,-0.06811523400000001,-0.089660645,134.92366,4.6183205,77.900764,7
0.22088623,-0.053466797,-0.09118652,110.79388999999999,13.412213000000001,76.03053,7
0.24609375,-0.055847167999999996,-0.10113525400000001,85.137405,25.122137,71.78626,7
0.23608398,-0.049072265999999996,-0.10333252,61.17556999999999,35.961834,72.03817,7
0.21856689999999998,-0.039123535,-0.10424805,32.91603,44.702290000000005,75.12214,7
0.20031738,-0.03894043,-0.090026855,0.52671754,51.87786,76.41221999999999,7
0.22338867,-0.06921387,-0.10040283,-25.877863,45.839695,76.41221999999999,7
0.23144531,-0.06591797,-0.10235596,-33.23664,39.198475,71.29008,7
0.23272705,-0.07116699,-0.09295654,-35.0229,29.610687,64.84733,7
0.24957275,-0.06536865,-0.08013916,-45.068703,11.541985,52.427483,7
0.26361084,-0.07348633,-0.0769043,-44.709922999999996,3.7862597,39.480915,7
0.25646973,-0.0725708,-0.07330322,-53.15266999999999,-10.022901,12.251908,7
0.14874268,-0.09832764,0.0008539999999999999,-37.656490000000005,-20.496183,-10.854961,7
0.13415527,-0.12890625,0.023742676,-40.84733,-79.816795,-43.931297,7
0.18939209,-0.12939453,0.005126953,-9.984733,-93.824425,-64.16794,7
0.19030762,-0.11010742,-0.005371094,-25.587785999999998,-108.94656,-66.46565,7
0.24725342,-0.07867432,-0.04443359400000001,-50.305344,-100.496185,-56.931297,7
0.24658203,-0.07281494,-0.085754395,-83.21374,-69.68701999999999,-40.198475,7
0.2543335,-0.10424805,-0.0680542,-104.1145,-28.595419,-21.801527,7
0.21868896,-0.1274414,-0.050231934000000006,-114.26717,-5.2442746,-16.549618,7
0.18823242,-0.13708496,-0.056884765999999996,-119.00764,10.656488000000001,-19.358778,7
0.18786621,-0.16204834,-0.047607422,-105.816795,19.358778,-30.48855,7
0.17712402,-0.15319824,-0.05279541,-70.03053,18.206106,-52.687022999999996,7
0.1741333,-0.16345215,-0.053833007999999995,-29.152671999999995,16.412214000000002,-76.46565,7
0.18048096,-0.15643310000000002,-0.037475586,7.328244000000001,14.80916,-106.1145,7
0.18914795,-0.17956543,-0.031921387,27.045801,1.7404580000000003,-129.99237,7
0.2142334,-0.16888428,-0.035705566,50.068703,-12.2595415,-152.2061,7
0.20806885,-0.18237305,-0.032165527,61.412212,-25.641222,-159.7481,7
0.23272705,-0.18395996,-0.05657959,82.12214,-29.885496000000003,-160.70228999999998,7
0.27075195,-0.16210938,-0.07287598,96.16794,-20.885496,-150.60306,7
0.29638672,-0.15899658,-0.10321045,96.80153,-3.0992367,-127.29008,7
0.31365967,-0.11853027,-0.117126465,87.19847,22.541985,-94.01527,7
0.31646729999999995,-0.09490967,-0.119628906,52.12214,57.519085,-41.198475,7
0.33123779999999997,-0.10748291,-0.09527588,8.496183,72.64886,8.404580000000001,7
0.26342773,-0.12536621,-0.07910156,-6.862595599999999,64.40458000000001,47.809162,7
0.27093506,-0.10369873,-0.0793457,-22.87023,53.137405,75.36641,7
0.25915527,-0.11975098,-0.08404541,-35.549618,44.435116,100.25191,7
0.22961426,-0.13775635,-0.09405517599999999,-16.320610000000002,22.770992,101.59541999999999,7
0.21862793,-0.13488770000000003,-0.07879639,17.08397,7.9847326,94.824425,7
0.20947266,-0.12426758,-0.081848145,43.641220000000004,-10.7786255,89.98473,7
0.21722412,-0.13165283,-0.07672119,71.862595,-22.320610000000002,83.908394,7
