Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
-0.21807861,0.05493164,-0.13116455,-66.45038000000001,8.389313000000001,-10.435115,2
-0.20678711,0.099731445,-0.09515381,-89.73283,8.274809,-4.6183205,2
-0.18658447,0.14965820000000002,-0.07183838,-77.68701999999999,7.4885497,-7.3664119999999995,2
-0.19311523,0.15197754,-0.07507324,-36.809162,2.923664,-0.5801527,2
-0.20599365,0.12908936,-0.12084961,-21.473282,-6.5038165999999995,-3.4732822999999997,2
-0.16638184,0.13299560000000002,-0.0881958,-29.908398,-10.412213000000001,0.19083970000000003,2
-0.17980957,0.13323975,-0.10052489999999999,-25.190839999999998,-16.564885999999998,9.938931,2
-0.1749878,0.13470459,-0.13970947,-18.343512,-27.175572999999996,13.938931,2
-0.23913574,0.10211182,-0.15264893,-22.534351,-42.954197,11.114504,2
-0.24774169999999998,0.07562256,-0.11199951,-40.076336,-38.93893,2.3816792999999996,2
-0.2588501,0.09069824,-0.09942627,-47.46565,-39.679390000000005,-6.1603055,2
-0.25195312,0.08764648400000001,-0.05224609400000001,-41.053436,-36.297709999999995,-12.160305000000001,2
-0.23999023,0.11370849599999999,-0.04864502,-24.122137,-16.694656,-13.015267,2
-0.22766113,0.1194458,-0.06500244,-5.961832,-4.8702292,-4.7022900000000005,2
-0.21142578,0.13824463,-0.06793213,10.755725,2.5114503,8.671756,2
-0.19256592,0.13500977,-0.07739258,27.816793,0.40458015,14.992367000000002,2
-0.16333008,0.12280273400000001,-0.09332275400000001,30.412214000000002,5.236641400000001,18.885496,2
-0.16528320000000002,0.10296631,-0.07672119,25.91603,-2.0076337,26.984734000000003,2
-0.19494629,0.09344482400000001,-0.08178711,8.7786255,-12.870229,32.801525,2
-0.19042969,0.09753418,-0.068237305,-14.343511999999999,-21.030535,36.0229,2
-0.20477295,0.11254883,-0.06292724599999999,-20.282442,-13.671756,35.229008,2
-0.21209717,0.13653564,-0.06652832,-12.541985,-19.068703,33.954197,2
-0.19873047,0.15441895,-0.07781982400000001,-6.3053436,-18.198473,31.221375,2
-0.19396973,0.17279053,-0.07171631,3.4503817999999997,-11.030535,32.732826,2
-0.19354248,0.18518066,-0.07696533,22.335878,-18.419847,34.045803,2
-0.19134521,0.17034912,-0.0715332,33.25954,-24.213741,31.183207,2
-0.18768310000000002,0.16741943,-0.057495117000000005,42.076336,-21.824427,35.221375,2
-0.18701172,0.17211914,-0.06072998,49.06107,-22.496183,39.08397,2
-0.18408203,0.15911865,-0.067871094,53.992367,-24.190839999999998,45.51145,2
-0.1673584,0.17883301,-0.048706055,62.007633,-21.564885999999998,45.129771999999996,2
-0.17041016,0.19244385,-0.05999756,73.96183,-12.9007635,45.93893,2
-0.17407227,0.16973877,-0.07250976599999999,83.52672,-15.59542,44.076336,2
-0.1609497,0.17205810000000002,-0.11236572,84.91603,-21.42748,38.9771,2
-0.17791748,0.16790771,-0.11755371,79.16031,-24.022902,35.23664,2
-0.16265869,0.17254639,-0.085998535,68.52672,-21.725191,32.16794,2
-0.16375732,0.15924072,-0.10668945,70.66412,-22.175573,26.847328000000005,2
-0.17102051,0.14147949,-0.11022949,71.29771,-23.587785999999998,22.603054,2
-0.16955566,0.1437378,-0.11608887,62.656490000000005,-17.48855,22.633587,2
-0.15789795,0.13458252,-0.09069824,57.099236,-10.366412,27.70229,2
-0.14837646,0.13488770000000003,-0.13159179999999998,38.572517,-10.511451,34.587788,2
-0.14801025,0.13000488,-0.13696289,26.08397,-12.19084,43.564884,2
-0.1519165,0.13299560000000002,-0.11059569999999999,5.923664,-2.2290077,44.25954,2
-0.14318848,0.17193604,-0.09851074,-57.541985,3.0305343,32.9771,2
-0.13403320000000002,0.23950195,-0.08123779,-57.564884,-1.2061069,12.053435,2
-0.15490723,0.21765137,-0.10058594,-18.282442,-4.236641400000001,-2.5877862,2
-0.13952637,0.18927002,-0.12011719,1.6717557,-11.564885,-10.824428,2
-0.13146973,0.13342285,-0.11297607400000001,-0.045801528,-11.961832000000001,-11.618319999999999,2
-0.12414551,0.1519165,-0.123046875,-29.32061,-9.251908,-9.022901,2
-0.14465332,0.17376709,-0.12371826,-34.435116,-6.1984735,-1.3740458,2
-0.14331055,0.17352295,-0.10559082,-27.32061,-5.2137402999999996,2.6030533,2
-0.1531372,0.17541504,-0.11370849599999999,-14.984732999999999,-11.015267,5.4961834000000005,2
-0.13354492,0.19293213,-0.08850098,1.2977100000000001,-17.824427,-1.0992366000000002,2
-0.13208008,0.19293213,-0.07336426,7.9847326,-22.671754999999997,-2.4732822999999997,2
-0.13342285,0.18731689999999998,-0.08166504,10.839694999999999,-29.32061,-3.076336,2
-0.14886475,0.18566895,-0.09814453,11.007633,-31.793894,3.2366412,2
-0.16796875,0.15563965,-0.08099365,-1.8244275,-24.076335999999998,5.931298,2
-0.1618042,0.17675781,-0.0715332,-9.587786999999999,-16.717558,6.7175574000000005,2
-0.17022705,0.17993164,-0.06616211,-6.5496182,-8.931297,5.3587785000000006,2
-0.16345215,0.19171143,-0.076660156,-5.053435299999999,-4.6870227,-1.5725191,2
