Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0.07342529,0.04437256,-0.057373047,185.73282,-62.12214,72.0,14
0.055480957000000004,0.033447266,-0.013183594,75.8855,-94.824425,58.396946,14
0.028564452999999997,0.046569824,-0.008056641,-34.87786,-110.12977,18.343512,14
0.0012817383,0.074401855,0.018981934,-118.45038000000001,-161.92366,-12.709924,14
-0.0015258789000000001,0.10144043,-0.0053100586,-95.21374,-102.74045600000001,-88.48855,14
0.00024414060000000002,0.10406494,-0.04083252,-58.67175699999999,-90.74809,-36.931297,14
-0.018554688,0.08544922,-0.045715332000000004,-32.320609999999995,-22.251910000000002,-28.412214000000002,14
-0.015258788999999998,0.09838867,-0.052734375,-38.679390000000005,-9.549619,-57.610687,14
-0.017700195,0.12133789,-0.051757812,-27.198473,-9.229008,-56.46565,14
-0.010131836,0.14141846,-0.032165527,14.114504,-35.549618,-43.351147,14
-0.014526367,0.11486816400000001,-0.060302734000000004,54.106869999999994,-41.137405,-32.297709999999995,14
-0.010498047,0.12139892599999999,-0.050109863,83.15267,-60.564884,-18.839695000000003,14
-0.046936035,0.10058594,0.0067749023,-20.641222,-57.297709999999995,-3.0,14
-0.007873535,0.20947266,-0.010009766,-10.816792999999999,-21.389313,56.931297,14
0.01159668,0.14825439999999998,-0.020019531,79.41984599999999,-36.53435,52.59542,14
-0.016845703,0.09802246,-0.016479492,157.59541000000002,-25.671754999999997,40.725190000000005,14
-0.00592041,0.059448242000000005,-0.019348145,151.78625,15.290076000000001,87.64121999999999,14
0.013244628999999999,0.063964844,0.0,109.76336,53.366413,116.62595,14
0.01361084,0.05718994,-0.030090332,79.30534,43.969467,122.30533999999999,14
0.01159668,0.028991700000000002,-0.03253174,82.10687,62.091602,88.58778000000001,14
0.021484375,0.022888184,-0.042785645,68.29008,71.9313,51.564884,14
0.04345703,0.06188965,-0.040771484,32.343509999999995,97.38931,45.244274,14
0.04510498,0.078125,-0.050964355,30.32061,91.87023,69.61069,14
0.045776367000000005,0.07781982400000001,-0.06530762,57.15266999999999,85.824425,74.32825,14
0.07250976599999999,0.09881592,-0.046447754,70.73283,96.938934,66.48092,14
0.08721924,0.09265137,-0.06579589999999999,79.69466,102.41984599999999,80.87023,14
